N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,0.5,0.0,17457920.0,0.0,1482.5,1472.0,7.0,24980.668365758353
2,15.0,1023.0,0.5,0.1036,17316608.0,170.0,1470.5,1472.0,7.0,141557.12073929733
3,15.0,1023.0,0.5,0.17865,16839680.0,311.0,1430.0,1472.0,7.0,116576.45237353897
4,15.0,1023.0,0.5,0.2256,16521728.0,409.0,1403.0,1472.0,7.0,149884.0101945501
5,15.0,1023.0,0.5,0.25755,16292096.0,480.0,1383.5,1472.0,7.0,158210.8996498029
6,15.0,1023.0,0.5,0.28759999999999997,16027136.0,549.5,1361.0,1472.0,7.0,166537.78910505568
7,15.0,1023.0,0.5,0.31475,15768064.0,615.0,1339.0,1472.0,7.0,49961.336731516705
8,15.0,1023.0,0.5,0.3537,15355904.0,714.0,1304.0,1472.0,7.0,283114.24147859466
9,15.0,1023.0,0.5,0.3801,15026176.0,782.5,1276.0,1472.0,7.0,83268.89455252784
10,15.0,1023.0,0.5,0.37985,15073280.0,784.0,1280.0,1472.0,7.0,66615.11564202227
