TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS
2020-12-13 03:17:50.438855,15,1023,1,0,0.0000,17475584.0,0,1484,1472,7
2020-12-13 03:17:50.940838,15,1023,2,0,0.1107,17216512.0,182,1462,1472,7
2020-12-13 03:17:51.948149,15,1023,3,0,0.1718,16922112.0,298,1437,1472,7
2020-12-13 03:17:52.605592,15,1023,4,0,0.2142,16627712.0,385,1412,1472,7
2020-12-13 03:17:54.022161,15,1023,5,0,0.2664,16180224.0,499,1374,1472,7
2020-12-13 03:17:54.241755,15,1023,7,0,0.3177,15732736.0,622,1336,1472,7
2020-12-13 03:17:54.296763,15,1023,6,0,0.2844,16144896.0,545,1371,1472,7
2020-12-13 03:17:54.580272,15,1023,8,0,0.3676,15155712.0,748,1287,1472,7
2020-12-13 03:17:54.882430,15,1023,10,0,0.3764,15120384.0,775,1284,1472,7
2020-12-13 03:17:54.896988,15,1023,9,0,0.3842,14967296.0,793,1271,1472,7
2020-12-13 03:17:57.578559,15,1023,1,1,0.0000,17440256.0,0,1481,1472,7
2020-12-13 03:17:58.164546,15,1023,2,1,0.0965,17416704.0,158,1479,1472,7
2020-12-13 03:17:58.877953,15,1023,3,1,0.1855,16757248.0,324,1423,1472,7
2020-12-13 03:17:59.399338,15,1023,4,1,0.2370,16415744.0,433,1394,1472,7
2020-12-13 03:18:00.444234,15,1023,5,1,0.2487,16403968.0,461,1393,1472,7
2020-12-13 03:18:00.711131,15,1023,6,1,0.2908,15909376.0,554,1351,1472,7
2020-12-13 03:18:01.239509,15,1023,7,1,0.3118,15803392.0,608,1342,1472,7
2020-12-13 03:18:01.505842,15,1023,8,1,0.3398,15556096.0,680,1321,1472,7
2020-12-13 03:18:01.531829,15,1023,9,1,0.3760,15085056.0,772,1281,1472,7
2020-12-13 03:18:01.587637,15,1023,10,1,0.3833,15026176.0,793,1276,1472,7
