TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1598765338.416194,7,1023,20,330,0.5407,23.88561408,238795,202833
1598765770.3429952,7,1023,50,330,0.6614,20.58126848,341464,174773
1598766226.3973148,15,1023,5,33,0.2642,28.76099584,87694,244234
1598766420.608776,15,1023,10,33,0.3750,27.2078592,138608,231045
1598766715.2378728,15,1023,20,33,0.4739,25.37916416,194104,215516
1598767139.4642835,15,1023,50,33,0.5999,22.38276096,284965,190071
1598767577.39114,15,1023,5,66,0.2639,28.7505152,87544,244145
1598767770.7055602,15,1023,10,66,0.3745,27.2119808,138363,231080
1598768084.84687,15,1023,20,66,0.4749,25.36008704,194745,215354
1598768517.7779922,15,1023,50,66,0.5998,22.3796992,284832,190045
1598768951.6251047,15,1023,5,99,0.2659,28.73555968,88374,244018
1598769152.9136734,15,1023,10,99,0.3745,27.22752512,138449,231212
1598769468.3682275,15,1023,20,99,0.4740,25.38057728,194192,215528
1598769887.0315626,15,1023,50,99,0.6010,22.3549696,285884,189835
1598770332.7036636,15,1023,5,132,0.2639,28.75604992,87567,244192
1598770534.6697237,15,1023,10,132,0.3750,27.21928192,138710,231142
1598770827.787755,15,1023,20,132,0.4750,25.35455232,194778,215307
1598771259.05334,15,1023,50,132,0.5994,22.41102336,284777,190311
1598771713.3993204,15,1023,5,165,0.2657,28.74627584,88350,244109
1598771896.3541045,15,1023,10,165,0.3747,27.22305024,138521,231174
1598772203.6234705,15,1023,20,165,0.4742,25.3672704,194308,215415
1598772636.3760989,15,1023,50,165,0.6002,22.37710848,285254,190023
1598773063.8831568,15,1023,5,198,0.2635,28.77854208,87456,244383
1598773286.8925388,15,1023,10,198,0.3755,27.2060928,138897,231030
1598773587.988833,15,1023,20,198,0.4740,25.38175488,194212,215538
1598774008.1980522,15,1023,50,198,0.6007,22.36333056,285722,189906
1598774456.2387662,15,1023,5,231,0.2643,28.76558848,87754,244273
1598774662.2929366,15,1023,10,231,0.3746,27.22575872,138457,231197
1598774954.878575,15,1023,20,231,0.4748,25.35620096,194671,215321
1598775390.237398,15,1023,50,231,0.6002,22.3696896,285129,189960
1598775844.7265985,15,1023,5,264,0.2646,28.75086848,87824,244148
1598776047.4226916,15,1023,10,264,0.3734,27.2484864,137883,231390
1598776328.3456302,15,1023,20,264,0.4750,25.3466624,194712,215240
1598776764.9719675,15,1023,50,264,0.6000,22.38370304,285138,190079
1598777190.9911199,15,1023,5,297,0.2631,28.78372352,87288,244427
1598777399.6546216,15,1023,10,297,0.3751,27.22010624,138732,231149
1598777720.732552,15,1023,20,297,0.4758,25.33111808,195276,215108
1598778146.2535512,15,1023,50,297,0.5991,22.41220096,284462,190321
1598778581.6346798,15,1023,5,330,0.2638,28.77807104,87587,244379
1598778787.7328815,15,1023,10,330,0.3734,27.25154816,137889,231416
1598779088.1910794,15,1023,20,330,0.4749,25.35702528,194778,215328
1598779534.6730309,15,1023,50,330,0.5998,22.38888448,284917,190123
1598779956.662229,31,1023,5,33,0.1760,29.14194944,52852,247469
1598780157.7345088,31,1023,10,33,0.2856,28.38910976,96374,241076
1598780454.97473,31,1023,20,33,0.3937,26.87601152,148188,228227
1598780867.4227846,31,1023,50,33,0.5320,24.09864192,232654,204642
1598781285.1119025,31,1023,5,66,0.1779,29.10238208,53496,247133
1598781491.005554,31,1023,10,66,0.2853,28.3854592,96240,241045
1598781788.833919,31,1023,20,66,0.3944,26.84621824,148468,227974
1598782215.618493,31,1023,50,66,0.5311,24.12278272,231990,204847
1598782640.659289,31,1023,5,99,0.1769,29.12287232,53158,247307
1598782841.9659948,31,1023,10,99,0.2849,28.4043008,96109,241205
1598783126.017018,31,1023,20,99,0.3930,26.88413696,147823,228296
1598783549.9463165,31,1023,50,99,0.5317,24.1013504,232377,204665
