TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1598528313.7153778,15,1023,9,264,0.3602,27.45079808,131258,233108
1598528323.7525578,15,1023,10,264,0.3765,27.18218752,139387,230827
1598528803.6376467,15,1023,1,297,0.0000,29.0354944,0,246565
1598528829.3781674,15,1023,2,297,0.1103,29.66927872,31242,251947
1598529032.2743597,15,1023,3,297,0.1773,29.51277568,53998,250618
1598529224.2129464,15,1023,4,297,0.2258,29.15348992,72207,247567
1598529267.6932886,15,1023,6,297,0.2951,28.38651904,100933,241054
1598529286.292751,15,1023,5,297,0.2641,28.76441088,87663,244263
1598529367.1370163,15,1023,7,297,0.3216,28.01616384,112774,237909
1598529475.5070121,15,1023,10,297,0.3739,27.24224512,138151,231337
1598529476.3367944,15,1023,8,297,0.3407,27.75932928,121802,235728
1598529486.0099125,15,1023,9,297,0.3595,27.4516224,130815,233115
1598529847.1989245,15,1023,1,330,0.0000,29.03714304,0,246579
1598530135.8329878,15,1023,2,330,0.1099,29.68647168,31122,252093
1598530240.3939335,15,1023,3,330,0.1784,29.47791872,54338,250322
1598530292.636407,15,1023,4,330,0.2251,29.16455936,71930,247661
1598530406.960282,15,1023,5,330,0.2646,28.75981824,87867,244224
1598530516.356778,15,1023,6,330,0.2939,28.41148416,100402,241266
1598530557.063465,15,1023,7,330,0.3197,28.06291456,112005,238306
1598530621.381245,15,1023,8,330,0.3421,27.72612096,122450,235446
1598530647.6633396,15,1023,9,330,0.3586,27.49071872,130511,233447
1598530658.454514,15,1023,10,330,0.3767,27.18348288,139539,230838
