TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD
2020-11-28 12:21:59.594749,15,1023,10,4,0.3790,29.49552,12503,20483,1800
2020-11-28 12:22:19.228423,15,1023,10,4,0.3755,28.99248,12818,21318,1700
2020-11-28 12:22:24.175475,15,1023,10,4,0.3758,28.48896,13398,22257,1600
2020-11-28 12:22:49.458667,15,1023,10,4,0.3712,27.9624,13754,23302,1500
2020-11-28 12:23:00.910357,15,1023,10,4,0.3698,27.36608,14337,24434,1400
2020-11-28 12:23:06.058560,15,1023,10,4,0.3784,26.4576,15489,25440,1300
2020-11-28 12:23:20.924447,15,1023,10,4,0.3769,25.71648,16202,26788,1200
2020-11-28 12:23:31.796822,15,1023,10,4,0.3740,24.86088,16879,28251,1100
2020-11-28 12:23:47.512902,15,1023,10,4,0.3753,23.8448,17908,29806,1000
2020-11-28 12:23:59.401849,15,1023,10,4,0.3760,22.75776,19044,31608,900
2020-11-28 12:24:14.131003,15,1023,10,4,0.3771,21.5136,20354,33615,800
2020-11-28 12:24:34.784130,15,1023,10,4,0.3745,20.07992,21467,35857,700
2020-11-28 12:24:47.440637,15,1023,10,4,0.3763,18.45696,23203,38452,600
2020-11-28 12:25:00.340063,15,1023,10,4,0.3753,16.6212,24962,41553,500
2020-11-28 12:25:13.266216,15,1023,10,4,0.3755,14.45472,27155,45171,400
2020-11-28 12:25:27.078967,15,1023,10,4,0.3766,11.84616,29814,49359,300
2020-11-28 12:25:34.229636,15,1023,10,4,0.3772,8.73696,33067,54606,200
2020-11-28 12:25:40.216595,15,1023,10,4,0.3739,4.84192,36149,60524,100
2020-11-28 12:32:00.032831,15,1023,10,5,0.3756,30.4928,11462,19058,2000
2020-11-28 12:32:48.747658,15,1023,10,5,0.3783,29.98656,12003,19728,1900
2020-11-28 12:33:06.222069,15,1023,10,5,0.3749,29.59776,12326,20554,1800
2020-11-28 12:33:29.931295,15,1023,10,5,0.3810,28.36736,13641,22162,1600
2020-11-28 12:33:31.448427,15,1023,10,5,0.3774,28.99384,12924,21319,1700
2020-11-28 12:33:46.799502,15,1023,10,5,0.3773,27.8532,14066,23211,1500
2020-11-28 12:34:08.542970,15,1023,10,5,0.3747,27.27872,14597,24356,1400
2020-11-28 12:34:15.003467,15,1023,10,5,0.3781,26.48464,15483,25466,1300
2020-11-28 12:34:35.236775,15,1023,10,5,0.3789,25.62432,16285,26692,1200
2020-11-28 12:34:43.151649,15,1023,10,5,0.3752,24.8028,16929,28185,1100
2020-11-28 12:34:59.149262,15,1023,10,5,0.3752,23.8528,17902,29816,1000
2020-11-28 12:35:11.088823,15,1023,10,5,0.3776,22.70232,19133,31531,900
2020-11-28 12:35:28.214208,15,1023,10,5,0.3739,21.5712,20131,33705,800
2020-11-28 12:35:37.181817,15,1023,10,5,0.3722,20.12864,21309,35944,700
2020-11-28 12:36:04.553323,15,1023,10,5,0.3816,18.39312,23648,38319,600
2020-11-28 12:36:24.124458,15,1023,10,5,0.3774,16.6036,25165,41509,500
2020-11-28 12:36:34.156906,15,1023,10,5,0.3797,14.41632,27581,45051,400
2020-11-28 12:36:47.554046,15,1023,10,5,0.3767,11.8668,29889,49445,300
2020-11-28 12:36:53.995706,15,1023,10,5,0.3783,8.72096,33171,54506,200
2020-11-28 12:36:59.717712,15,1023,10,5,0.3755,4.84008,36384,60501,100
