TIMESTAMP, CW_MIN, CW_MAX, N_OF_STATIONS, SEED, P_COLL, THR, FAILED_TRANSMISSIONS, SUCCEEDED_TRANSMISSIONS
1594201784.1860108, 15, 1023, 5, 231, 0.2704, 28.692224, 9029, 24365
1594201793.945441, 15, 1023, 6, 231, 0.3028, 28.2894848, 10432, 24023
1594201802.0233011, 15, 1023, 7, 231, 0.3348, 27.844352, 11903, 23645
1594201805.289069, 15, 1023, 8, 231, 0.3597, 27.4522112, 13096, 23312
1594201809.077665, 15, 1023, 9, 231, 0.3814, 27.1236608, 14199, 23033
1594201811.523354, 15, 1023, 10, 231, 0.4013, 26.7915776, 15252, 22751
1594201859.801503, 15, 1023, 1, 264, 0.0000, 29.0490368, 0, 24668
1594201881.118237, 15, 1023, 2, 264, 0.1092, 29.7120256, 3092, 25231
1594201895.4134169, 15, 1023, 3, 264, 0.1773, 29.5024128, 5399, 25053
1594201909.1834319, 15, 1023, 4, 264, 0.2301, 29.0902528, 7385, 24703
1594201916.945312, 15, 1023, 5, 264, 0.2719, 28.6557184, 9089, 24334
1594201926.252754, 15, 1023, 6, 264, 0.3042, 28.250624, 10486, 23990
1594201932.368646, 15, 1023, 7, 264, 0.3374, 27.7807616, 12012, 23591
1594201938.514741, 15, 1023, 8, 264, 0.3568, 27.5252224, 12964, 23374
1594201941.392192, 15, 1023, 9, 264, 0.3842, 27.0718464, 14344, 22989
1594201943.3724532, 15, 1023, 10, 264, 0.4029, 26.737408, 15320, 22705
1594201990.294323, 15, 1023, 1, 297, 0.0000, 29.039616, 0, 24660
1594202013.503325, 15, 1023, 2, 297, 0.1114, 29.6684544, 3160, 25194
1594202026.751301, 15, 1023, 3, 297, 0.1786, 29.487104, 5443, 25040
1594202039.555027, 15, 1023, 4, 297, 0.2291, 29.1055616, 7346, 24716
1594202049.454704, 15, 1023, 5, 297, 0.2702, 28.7110656, 9025, 24381
1594202056.734272, 15, 1023, 6, 297, 0.3036, 28.2765312, 10466, 24012
1594202067.8729632, 15, 1023, 7, 297, 0.3357, 27.7996032, 11927, 23607
1594202073.8693252, 15, 1023, 8, 297, 0.3593, 27.4663424, 13080, 23324
1594202076.8995788, 15, 1023, 9, 297, 0.3799, 27.1601664, 14128, 23064
1594202078.577761, 15, 1023, 10, 297, 0.4024, 26.7220992, 15282, 22692
1594202128.0281951, 15, 1023, 1, 330, 0.0000, 29.0490368, 0, 24668
1594202160.478467, 15, 1023, 2, 330, 0.1106, 29.6660992, 3134, 25192
1594202187.8144078, 15, 1023, 3, 330, 0.1771, 29.5212544, 5394, 25069
1594202208.747572, 15, 1023, 4, 330, 0.2252, 29.2068352, 7210, 24802
1594202220.76283, 15, 1023, 5, 330, 0.2689, 28.7251968, 8972, 24393
1594202235.9858298, 15, 1023, 6, 330, 0.3043, 28.268288, 10500, 24005
1594202243.045428, 15, 1023, 7, 330, 0.3367, 27.779584, 11977, 23590
1594202248.593396, 15, 1023, 8, 330, 0.3599, 27.4639872, 13115, 23322
1594202251.761923, 15, 1023, 9, 330, 0.3795, 27.167232, 14110, 23070
1594202254.3534641, 15, 1023, 10, 330, 0.4053, 26.6655744, 15434, 22644
