29.9284,29.927,29.93,29.9286,29.9308,29.9243,29.9212,29.926,29.9255,29.9221
30.2293,30.2248,30.24,30.2311,30.2371,,30.2391,30.2231,30.2334,
29.9719,29.9823,29.9243,29.9909,29.9415,29.9833,29.9964,29.9812,29.9368,29.9248
29.5686,29.5613,29.5689,29.5699,29.5542,29.5612,29.5649,29.5548,29.4803,29.5612
29.1458,29.1476,29.1569,29.1498,29.1485,29.1562,29.2452,29.1461,29.1426,29.1537
29.1498,28.7796,28.7742,28.8268,28.7378,28.7864,28.7781,28.782,28.7761,28.7898
28.444,28.4888,28.4351,28.4861,28.4523,28.499,28.5224,28.43,28.4429,28.4946
28.2553,,28.1129,28.3244,28.116,28.2978,28.1948,28.1237,28.37,28.2575
27.9012,27.9651,27.833,27.8144,28.017,27.8362,27.8448,27.9319,27.8924,27.8558
27.662,27.6292,27.5715,27.6513,27.5236,27.586,27.83,27.7472,27.7423,27.6956
