N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,0.5,0.0,17.505024,0.0,1486.5,1472.0,7.0,0.024980668365758213
2,15.0,1023.0,0.5,0.10994999999999999,17.245952,181.0,1464.5,1472.0,7.0,0.12490334182879106
3,15.0,1023.0,0.5,0.17880000000000001,16.875008,312.0,1433.0,1472.0,7.0,0.03330755782101053
4,15.0,1023.0,0.5,0.22575,16.545279999999998,410.0,1405.0,1472.0,7.0,0.24980668365758338
5,15.0,1023.0,0.5,0.25325,16.321536000000002,470.0,1386.0,1472.0,7.0,0.016653778910503382
6,15.0,1023.0,0.5,0.28764999999999996,16.038912,550.0,1362.0,1472.0,7.0,0.0
7,15.0,1023.0,0.5,0.32055,15.709184,629.5,1334.0,1472.0,7.0,0.11657645237354
8,15.0,1023.0,0.5,0.3494,15.391231999999999,702.0,1307.0,1472.0,7.0,0.06661511564202106
9,15.0,1023.0,0.5,0.3629,15.255808,738.0,1295.5,1472.0,7.0,0.04163444727626536
10,15.0,1023.0,0.5,0.3901,14.937856,812.0,1268.5,1472.0,7.0,0.3247486887548593
