TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS
2020-12-13 03:19:51.793570,15,1023,1,0,0.0000,17.522688,0,1488,1472,7
2020-12-13 03:19:52.991267,15,1023,2,0,0.1186,17.157632,196,1457,1472,7
2020-12-13 03:19:54.079426,15,1023,3,0,0.1818,16.851456,318,1431,1472,7
2020-12-13 03:19:54.647224,15,1023,4,0,0.2111,16.72192,380,1420,1472,7
2020-12-13 03:19:54.848999,15,1023,5,0,0.2550,16.30976,474,1385,1472,7
2020-12-13 03:19:55.145584,15,1023,6,0,0.2880,16.038912,551,1362,1472,7
2020-12-13 03:19:55.742203,15,1023,7,0,0.3284,15.626752,649,1327,1472,7
2020-12-13 03:19:56.111415,15,1023,8,0,0.3533,15.344128,712,1303,1472,7
2020-12-13 03:19:56.515421,15,1023,9,0,0.3690,15.226368,756,1293,1472,7
2020-12-13 03:19:56.536067,15,1023,10,0,0.3741,15.167488,770,1288,1472,7
2020-12-13 03:20:00.717383,15,1023,1,1,0.0000,17.48736,0,1485,1472,7
2020-12-13 03:20:02.217847,15,1023,2,1,0.1013,17.334272,166,1472,1472,7
2020-12-13 03:20:02.303324,15,1023,3,1,0.1758,16.89856,306,1435,1472,7
2020-12-13 03:20:04.013469,15,1023,4,1,0.2404,16.36864,440,1390,1472,7
2020-12-13 03:20:04.821793,15,1023,5,1,0.2515,16.333312,466,1387,1472,7
2020-12-13 03:20:05.449167,15,1023,6,1,0.2873,16.038912,549,1362,1472,7
2020-12-13 03:20:05.970690,15,1023,7,1,0.3127,15.791616,610,1341,1472,7
2020-12-13 03:20:06.543756,15,1023,9,1,0.3568,15.285248,720,1298,1472,7
2020-12-13 03:20:06.747349,15,1023,8,1,0.3455,15.438336,692,1311,1472,7
2020-12-13 03:20:07.948952,15,1023,10,1,0.4061,14.708224,854,1249,1472,7
